Codice Chiesa;Codice Pavimenti;Quadrante;Data;Quota;Cappela;Primario Stile;# Passi alla Cappella;Altare 1;# Passi alla Altare 1;Quota di Altare 1;Altare 2;# Passi alla Altare 2;Quota di Altare 2;Nota;Entrata?;Contenere Banco?;Contenere Reperti?;Numero di Reperti;MAPINFO_ID
TERE;TERE_E;E;18/06/2004;1,69;VERO;;3,00;VERO;3;2,05;FALSO;0;0,00;;FALSO;FALSO;VERO;;562
TOLE;TOLE_A;A;23/06/2004;2,30;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;VERO;VERO;VERO;;604
TOLE;TOLE_B;B;23/06/2004;2,32;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;VERO;VERO;VERO;;605
TOLE;TOLE_C;C;23/06/2004;2,34;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;VERO;;606
TOLE;TOLE_D;D;23/06/2004;2,33;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;VERO;;607
TOLE;TOLE_E;E;23/06/2004;2,33;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;VERO;;608
TOLE;TOLE_F;F;23/06/2004;2,32;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;VERO;;609
TOLE;TOLE_G;G;23/06/2004;2,34;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;VERO;;610
TOLE;TOLE_H;H;23/06/2004;2,36;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;VERO;;611
TOLE;TOLE_I;I;23/06/2004;2,34;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;VERO;;612
TOLE;TOLE_J;J;23/06/2004;2,30;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;VERO;;613
TOLE;TOLE_K;K;23/06/2004;2,34;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;20 percent covered by white marble platform;FALSO;VERO;VERO;;614
TOLE;TOLE_L;L;23/06/2004;2,31;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;20 percent covered by white marble platform;FALSO;VERO;VERO;;615
TOLE;TOLE_M;M;23/06/2004;2,64;VERO;;2,00;VERO;2;2,98;FALSO;0;0,00;side chapel;FALSO;FALSO;VERO;;616
TOLE;TOLE_N;N;23/06/2004;2,60;VERO;;2,00;VERO;2;2,94;FALSO;0;0,00;side chapel;FALSO;FALSO;VERO;;617
TOLE;TOLE_O;O;23/06/2004;2,63;VERO;;2,00;VERO;2;2,97;FALSO;0;0,00;side chapel;FALSO;FALSO;VERO;;618
TOLE;TOLE_P;P;23/06/2004;2,59;VERO;;2,00;VERO;2;2,93;FALSO;0;0,00;side chapel;FALSO;FALSO;VERO;;619
TOLE;TOLE_Q;Q;23/06/2004;2,66;VERO;;2,00;VERO;2;3,00;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;620
TOLE;TOLE_R;R;23/06/2004;2,57;VERO;;2,00;VERO;2;2,91;FALSO;0;0,00;side chapel;FALSO;FALSO;VERO;;621
TOLE;TOLE_S;S;23/06/2004;2,66;VERO;;2,00;VERO;3;3,17;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;622
TOLE;TOLE_T;T;23/06/2004;2,52;VERO;;0,00;VERO;3;3,03;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;623
TOLE;TOLE_U;U;23/06/2004;3,02;VERO;;4,00;VERO;3;3,53;FALSO;0;0,00;main alter, completely covered by new white marble covering;FALSO;FALSO;FALSO;;624
TROV;TROV_A;A;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;169
TROV;TROV_B;B;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;170
TROV;TROV_C;C;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;171
TROV;TROV_D;D;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;172
TROV;TROV_E;E;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;173
TROV;TROV_F;F;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;174
TROV;TROV_G;G;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;175
TROV;TROV_H;H;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;176
TROV;TROV_I;I;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;177
TROV;TROV_J;J;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;178
TROV;TROV_K;K;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;179
TROV;TROV_L;L;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;180
TROV;TROV_M;M;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;181
TROV;TROV_N;N;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;182
TROV;TROV_O;O;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;183
TROV;TROV_P;P;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;184
TROV;TROV_Q;Q;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;185
TROV;TROV_R;R;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;186
TROV;TROV_S;S;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;187
TROV;TROV_T;T;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;188
TROV;TROV_U;U;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;189
TROV;TROV_V;V;08/07/2002;1,76;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;190
VIDA;VIDA_A;A;14/07/2004;2,20;FALSO;;0,00;VERO;0;2,20;VERO;0;2,20;25 percent covered by carpet;VERO;VERO;VERO;;1424
VIDA;VIDA_B;B;14/07/2004;2,21;FALSO;;0,00;VERO;0;2,21;VERO;0;2,21;25 percent covered by carpet;VERO;VERO;VERO;;1425
VIDA;VIDA_C;C;14/07/2004;2,28;FALSO;;0,00;VERO;0;2,28;FALSO;0;0,00;25 percent covered by carpet;FALSO;VERO;VERO;;1426
VIDA;VIDA_D;D;14/07/2004;2,29;FALSO;;0,00;VERO;0;2,29;FALSO;0;0,00;25 percent covered by carpet;FALSO;VERO;VERO;;1427
VIDA;VIDA_E;E;14/07/2004;2,97;VERO;;5,00;VERO;3;3,40;FALSO;0;0,00;main alter, floor in excellent condition;FALSO;FALSO;VERO;;1428
VIGN;VIGN_A;A;25/06/2003;1,56;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;563
VIGN;VIGN_B;B;25/06/2003;1,55;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;564
